2023-04-13 19:04:840 INFO  JamesAndJames :101 - I enter Busienss Email [[ChromeDriver: chrome on WINDOWS (e96e0616149f0896dd1ee71cfe1f3438)] -> xpath: //*[@id="4545908738"]]
2023-04-13 20:04:829 INFO  JamesAndJames :68 - I click On WhoWeAre
2023-04-13 20:04:950 INFO  JamesAndJames :75 - I verify Text[[ChromeDriver: chrome on WINDOWS (0bd9e95eab6a7d047c683b5cbc773400)] -> xpath: //span[contains(text(),'Our story')]]
2023-04-13 20:04:12 INFO  JamesAndJames :82 - I click speak to an expert[[ChromeDriver: chrome on WINDOWS (0bd9e95eab6a7d047c683b5cbc773400)] -> link text: Speak to an expert]
2023-04-13 20:04:229 INFO  JamesAndJames :88 - I enter first name [[ChromeDriver: chrome on WINDOWS (0bd9e95eab6a7d047c683b5cbc773400)] -> xpath: //*[@id="4545906690"]]
2023-04-13 20:04:356 INFO  JamesAndJames :94 - I enter Last name [[ChromeDriver: chrome on WINDOWS (0bd9e95eab6a7d047c683b5cbc773400)] -> xpath: //*[@id="4545907714"]]
2023-04-13 20:04:464 INFO  JamesAndJames :100 - I enter Last name [[ChromeDriver: chrome on WINDOWS (0bd9e95eab6a7d047c683b5cbc773400)] -> xpath: //*[@id="4545910786"]]
2023-04-13 20:04:606 INFO  JamesAndJames :106 - I enter Busienss Email [[ChromeDriver: chrome on WINDOWS (0bd9e95eab6a7d047c683b5cbc773400)] -> xpath: //*[@id="4545908738"]]
2023-04-13 20:04:916 INFO  JamesAndJames :111 - I enter Phone number [[ChromeDriver: chrome on WINDOWS (0bd9e95eab6a7d047c683b5cbc773400)] -> xpath: //*[@id="4545914882"]]
2023-04-13 20:04:112 INFO  JamesAndJames :111 - I enter Phone number [[ChromeDriver: chrome on WINDOWS (0bd9e95eab6a7d047c683b5cbc773400)] -> xpath: //*[@id="4545914882"]]
2023-04-13 20:04:591 INFO  JamesAndJames :72 - I click On WhoWeAre
2023-04-13 20:04:65 INFO  JamesAndJames :79 - I verify Text[[ChromeDriver: chrome on WINDOWS (892cf70c8487b1eb34f13eb0a4141687)] -> xpath: //span[contains(text(),'Our story')]]
2023-04-13 20:04:187 INFO  JamesAndJames :86 - I click speak to an expert[[ChromeDriver: chrome on WINDOWS (892cf70c8487b1eb34f13eb0a4141687)] -> link text: Speak to an expert]
2023-04-13 20:04:344 INFO  JamesAndJames :92 - I enter first name [[ChromeDriver: chrome on WINDOWS (892cf70c8487b1eb34f13eb0a4141687)] -> xpath: //*[@id="4545906690"]]
2023-04-13 20:04:489 INFO  JamesAndJames :98 - I enter Last name [[ChromeDriver: chrome on WINDOWS (892cf70c8487b1eb34f13eb0a4141687)] -> xpath: //*[@id="4545907714"]]
2023-04-13 20:04:611 INFO  JamesAndJames :104 - I enter Last name [[ChromeDriver: chrome on WINDOWS (892cf70c8487b1eb34f13eb0a4141687)] -> xpath: //*[@id="4545910786"]]
2023-04-13 20:04:916 INFO  JamesAndJames :110 - I enter Busienss Email [[ChromeDriver: chrome on WINDOWS (892cf70c8487b1eb34f13eb0a4141687)] -> xpath: //*[@id="4545908738"]]
2023-04-13 20:04:150 INFO  JamesAndJames :115 - I enter Phone number [[ChromeDriver: chrome on WINDOWS (892cf70c8487b1eb34f13eb0a4141687)] -> xpath: //*[@id="4545914882"]]
2023-04-13 20:04:306 INFO  JamesAndJames :120 - I enter Phone number [[ChromeDriver: chrome on WINDOWS (892cf70c8487b1eb34f13eb0a4141687)] -> xpath: //*[@id="4586371074"]]
2023-04-13 20:04:438 INFO  JamesAndJames :126 - I enter Phone number [[ChromeDriver: chrome on WINDOWS (892cf70c8487b1eb34f13eb0a4141687)] -> xpath: //*[@id="4586383362"]]
2023-04-13 20:04:267 INFO  JamesAndJames :76 - I click On WhoWeAre
2023-04-13 20:04:765 INFO  JamesAndJames :83 - I verify Text[[ChromeDriver: chrome on WINDOWS (b0500f5988d06144eaaf884450bd94e0)] -> xpath: //span[contains(text(),'Our story')]]
2023-04-13 20:04:864 INFO  JamesAndJames :90 - I click speak to an expert[[ChromeDriver: chrome on WINDOWS (b0500f5988d06144eaaf884450bd94e0)] -> link text: Speak to an expert]
2023-04-13 20:04:21 INFO  JamesAndJames :96 - I enter first name [[ChromeDriver: chrome on WINDOWS (b0500f5988d06144eaaf884450bd94e0)] -> xpath: //*[@id="4545906690"]]
2023-04-13 20:04:124 INFO  JamesAndJames :102 - I enter Last name [[ChromeDriver: chrome on WINDOWS (b0500f5988d06144eaaf884450bd94e0)] -> xpath: //*[@id="4545907714"]]
2023-04-13 20:04:253 INFO  JamesAndJames :108 - I enter Last name [[ChromeDriver: chrome on WINDOWS (b0500f5988d06144eaaf884450bd94e0)] -> xpath: //*[@id="4545910786"]]
2023-04-13 20:04:382 INFO  JamesAndJames :114 - I enter Busienss Email [[ChromeDriver: chrome on WINDOWS (b0500f5988d06144eaaf884450bd94e0)] -> xpath: //*[@id="4545908738"]]
2023-04-13 20:04:809 INFO  JamesAndJames :119 - I enter Phone number [[ChromeDriver: chrome on WINDOWS (b0500f5988d06144eaaf884450bd94e0)] -> xpath: //*[@id="4545914882"]]
